Rank,Team Name,Team ID,Conference,Games Played,Points Allowed (play by play),Points Allowed per Game (play by play),Total Yards (Net) Allowed,Total Yards (Net) Allowed per Game,Defensive Net Passing Yards,Defensive Net Passing Yards Per Game,Rushing Yards Allowed,Defensive Rushing Yards Per Game
1t,New York Jets,6526d367fb66c7d02dfb8a51,AFC,17,355,20.88235294,4969,292.29411765,2861,168.29411765,2108,124
1t,Cincinnati Bengals,6526d38383a47c56303cf1db,AFC,17,384,22.58823529,6368,374.58823529,4223,248.41176471,2145,126.17647059
1t,Houston Texans,6526d375fb66c7d02dfb8abf,AFC,17,359,21.11764706,5622,330.70588235,3979,234.05882353,1643,96.64705882
1t,New England Patriots,6526d369fb66c7d02dfb8a66,AFC,17,366,21.52941176,5127,301.58823529,3543,208.41176471,1584,93.17647059
1t,Buffalo Bills,6526d34f83a47c56303cf10d,AFC,17,311,18.29411765,5222,307.17647059,3342,196.58823529,1880,110.58823529
1t,Denver Broncos,6526d34ffb66c7d02dfb8a0a,AFC,17,413,24.29411765,6303,370.76470588,3972,233.64705882,2331,137.11764706
1t,Los Angeles Chargers,6526d34f83a47c56303cf112,AFC,17,398,23.41176471,6170,362.94117647,4246,249.76470588,1924,113.17647059
1t,Indianapolis Colts,6526d36afb66c7d02dfb8a74,AFC,17,415,24.41176471,5947,349.82352941,3842,226,2105,123.82352941
1t,Pittsburgh Steelers,6526d38b83a47c56303cf21b,AFC,17,324,19.05882353,5816,342.11764706,3860,227.05882353,1956,115.05882353
1t,Cleveland Browns,6526d38483a47c56303cf1ec,AFC,17,362,21.29411765,4593,270.17647059,2800,164.70588235,1793,105.47058824
1t,Miami Dolphins,6526d363fb66c7d02dfb8a40,AFC,17,391,23,5411,318.29411765,3761,221.23529412,1650,97.05882353
1t,Kansas City Chiefs,6526d350fb66c7d02dfb8a0f,AFC,17,294,17.29411765,4926,289.76470588,3001,176.52941176,1925,113.23529412
1t,Las Vegas Raiders,6526d34f83a47c56303cf108,AFC,17,331,19.47058824,5625,330.88235294,3610,212.35294118,2015,118.52941176
1t,Baltimore Ravens,6526d38583a47c56303cf1fa,AFC,17,280,16.47058824,5123,301.35294118,3263,191.94117647,1860,109.41176471
1t,Tennessee Titans,6526d37d83a47c56303cf1b1,AFC,17,361,21.23529412,5697,335.11764706,3866,227.41176471,1831,107.70588235
1t,Jacksonville Jaguars,6526d36cfb66c7d02dfb8a82,AFC,17,371,21.82352941,5828,342.82352941,4076,239.76470588,1752,103.05882353
17t,Arizona Cardinals,6526d3a0fb66c7d02dfb8b24,NFC,17,455,26.76470588,6047,355.70588235,3613,212.52941176,2434,143.17647059
17t,Seattle Seahawks,6526d3adafc95e6021c45b89,NFC,17,402,23.64705882,6313,371.35294118,3961,233,2352,138.35294118
17t,Chicago Bears,6526d3c7afc95e6021c45c28,NFC,17,379,22.29411765,5511,324.17647059,4043,237.82352941,1468,86.35294118
17t,Los Angeles Rams,6526d3adfb66c7d02dfb8b6a,NFC,17,377,22.17647059,5744,337.88235294,3928,231.05882353,1816,106.82352941
17t,Dallas Cowboys,6526d3b3fb66c7d02dfb8b7e,NFC,17,315,18.52941176,5095,299.70588235,3185,187.35294118,1910,112.35294118
17t,Green Bay Packers,6526d3c9afc95e6021c45c48,NFC,17,350,20.58823529,5696,335.05882353,3515,206.76470588,2181,128.29411765
17t,Tampa Bay Buccaneers,6526d38e83a47c56303cf241,NFC,17,325,19.11764706,5852,344.23529412,4232,248.94117647,1620,95.29411765
17t,New York Giants,6526d3c5afc95e6021c45c0e,NFC,17,401,23.58823529,6149,361.70588235,3898,229.29411765,2251,132.41176471
17t,Washington Commanders,6526d3afafc95e6021c45ba0,NFC,17,524,30.82352941,6612,388.94117647,4457,262.17647059,2155,126.76470588
17t,Philadelphia Eagles,6526d3b5fb66c7d02dfb8b90,NFC,17,428,25.17647059,6054,356.11764706,4296,252.70588235,1758,103.41176471
17t,New Orleans Saints,6526d39983a47c56303cf2a0,NFC,17,327,19.23529412,5562,327.17647059,3524,207.29411765,2038,119.88235294
17t,San Francisco 49ers,6390fed843e25b1ece9e7adc,NFC,17,298,17.52941176,5167,303.94117647,3642,214.23529412,1525,89.70588235
17t,Carolina Panthers,6390ffe743e25b1ece9e83f5,NFC,17,422,24.82352941,4997,293.94117647,2916,171.52941176,2081,122.41176471
17t,Minnesota Vikings,6526d3caafc95e6021c45c58,NFC,17,362,21.29411765,5664,333.17647059,3986,234.47058824,1678,98.70588235
17t,Detroit Lions,6526d3c7afc95e6021c45c23,NFC,17,395,23.23529412,5714,336.11764706,4205,247.35294118,1509,88.76470588
17t,Atlanta Falcons,6526d39683a47c56303cf27d,NFC,17,373,21.94117647,5458,321.05882353,3449,202.88235294,2009,118.17647059
